time,m1,m2,m3,p1,p2,p3
3.255,9,12,11,12,10,5
3.26,9,12,12,10,12,6
3.265,9,12,14,10,12,5
3.27,9,12,14,12,12,6
3.275,9,12,14,12,12,6
3.28,10,12,14,13,11,7
3.285,10,12,14,14,10,7
3.29,10,11,13,15,9,6
3.295,11,11,13,16,9,7
3.3,11,11,14,16,9,8
3.305,11,11,14,15,9,8
3.31,11,11,14,15,11,8
3.315,11,11,14,15,10,8
3.32,11,11,14,13,10,9
3.325,11,11,14,13,10,8
3.33,11,11,14,13,10,8
3.335,11,11,14,13,10,8
3.34,11,11,14,13,10,7
3.345,11,11,14,13,9,6
3.35,11,11,14,12,9,6
3.355,11,10,14,12,9,6
3.36,11,10,14,12,9,6
3.365,11,10,14,13,9,7
3.37,11,10,13,14,9,8
3.375,11,10,13,14,9,10
3.38,10,10,13,13,9,9
3.385,10,10,13,13,9,9
3.39,10,10,13,13,9,10
3.395,9,10,13,12,9,10
3.4,9,10,13,12,9,10
3.405,9,10,13,12,10,11
3.41,9,10,13,11,11,11
3.415,9,9,12,11,11,10
3.42,9,9,12,12,11,10
3.425,8,9,12,11,11,10
3.43,8,9,12,8,11,10
3.435,9,9,12,7,10,12
3.44,9,9,12,7,10,12
3.445,9,9,12,7,10,12
3.45,10,9,12,9,8,12
3.455,10,9,12,8,8,12
3.46,10,10,12,8,7,12
3.465,10,10,12,8,7,13
3.47,10,10,12,8,6,13
3.475,11,10,12,9,6,13
3.48,11,10,12,9,5,12
3.485,11,10,12,9,5,12
3.49,11,10,12,9,5,12
3.495,11,10,12,8,5,13
3.5,11,10,12,8,5,13
3.505,11,10,12,7,5,12
3.51,11,10,12,8,5,10
3.515,11,11,12,9,5,10
3.52,11,11,12,9,5,9
3.525,11,11,12,9,5,10
3.53,11,11,12,9,6,11
3.535,11,11,12,9,6,12
3.54,11,11,12,9,6,12
3.545,11,11,12,9,6,12
3.55,12,11,12,8,6,12
3.555,12,11,12,8,7,12
3.56,12,12,12,8,6,11
3.565,12,13,12,8,7,11
3.57,12,13,12,9,6,11
3.575,12,13,12,10,6,11
3.58,12,13,12,10,6,11
3.585,12,13,12,10,5,11
3.59,11,14,12,11,5,11
3.595,11,14,12,11,3,12
3.6,11,14,12,11,3,11
3.605,11,14,13,12,3,11
3.61,11,14,12,12,4,11
3.615,11,14,12,12,4,11
3.62,11,14,12,12,4,12
3.625,11,14,12,12,4,12
3.63,11,14,12,12,5,14
3.635,11,14,12,13,6,14
3.64,12,14,12,14,6,14
3.645,12,14,12,13,7,14
3.65,12,14,12,13,7,14
3.655,11,15,12,13,7,14
3.66,11,16,12,13,8,15
3.665,11,16,12,13,8,15
